,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Sport_Rank,Has_Previous_Medal
107,1,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
108,2,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
109,3,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
110,4,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
111,5,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,False
112,6,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
298,7,Raouf Abdelraouf,M,22.0,167.0,63.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
299,8,Raouf Abdelraouf,M,22.0,167.0,63.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,,14,False
300,9,Raouf Abdelraouf,M,22.0,167.0,63.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
301,10,Raouf Abdelraouf,M,22.0,167.0,63.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,,14,False
302,11,Raouf Abdelraouf,M,22.0,167.0,63.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
485,12,Katja Abel,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
486,13,Katja Abel,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,14,False
487,14,Katja Abel,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
488,15,Katja Abel,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
489,16,Katja Abel,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
559,17,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,,14,False
560,18,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,14,False
561,19,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver,14,False
562,20,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
563,21,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
564,22,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,14,False
565,23,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver,14,True
566,24,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,True
567,25,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver,14,True
568,26,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze,14,True
823,27,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
824,28,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze,14,False
825,29,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
826,30,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
1311,31,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
1312,32,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
1313,33,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
1314,34,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,,14,False
1442,35,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
1443,36,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,14,False
1444,37,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
1445,38,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
1446,39,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
1447,40,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver,14,False
1448,41,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
1449,42,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,,14,False
2059,43,Samir At Sad,M,26.0,167.0,65.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,,14,False
2060,44,Samir At Sad,M,26.0,167.0,65.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,False
2262,45,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
2263,46,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,,14,False
2264,47,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
2265,48,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,,14,False
2266,49,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
2267,50,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,,14,False
2591,51,Nashwan Haidar Al-Harazi,M,21.0,162.0,54.0,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
2592,52,Nashwan Haidar Al-Harazi,M,21.0,162.0,54.0,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
2593,53,Nashwan Haidar Al-Harazi,M,21.0,162.0,54.0,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horse Vault,,14,False
2594,54,Nashwan Haidar Al-Harazi,M,21.0,162.0,54.0,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
3475,55,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
3476,56,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
3477,57,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,,14,False
3478,58,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
3479,59,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
3480,60,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,,14,False
3481,61,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
3482,62,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27.0,171.0,63.0,Iceland,ISL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
3483,63,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27.0,171.0,63.0,Iceland,ISL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
3484,64,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27.0,171.0,63.0,Iceland,ISL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,,14,False
3485,65,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27.0,171.0,63.0,Iceland,ISL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
3486,66,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27.0,171.0,63.0,Iceland,ISL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
3487,67,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27.0,171.0,63.0,Iceland,ISL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Rings,,14,False
3488,68,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27.0,171.0,63.0,Iceland,ISL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
4212,69,Tabea Lara Alt,F,16.0,158.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,,14,False
4213,70,Tabea Lara Alt,F,16.0,158.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
4214,71,Tabea Lara Alt,F,16.0,158.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,False
4419,72,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
4420,73,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Bronze,14,False
4421,74,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
4422,75,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,,14,False
4423,76,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
4424,77,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
4425,78,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,,14,False
4426,79,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
4444,80,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
4445,81,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
4446,82,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
4447,83,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,False
4467,84,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,Gold,14,True
4468,85,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Gold,14,True
4469,86,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,14,True
4470,87,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,,14,True
4471,88,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,,14,True
4472,89,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,,14,True
5011,90,Thomas Andergassen,M,24.0,166.0,62.0,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
5012,91,Thomas Andergassen,M,24.0,166.0,62.0,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,,14,False
5013,92,Thomas Andergassen,M,24.0,166.0,62.0,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
5014,93,Thomas Andergassen,M,24.0,166.0,62.0,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Rings,,14,False
5015,94,Thomas Andergassen,M,24.0,166.0,62.0,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
5016,95,Thomas Andergassen,M,28.0,166.0,62.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
5017,96,Thomas Andergassen,M,28.0,166.0,62.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,,14,False
5018,97,Thomas Andergassen,M,28.0,166.0,62.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
5019,98,Thomas Andergassen,M,28.0,166.0,62.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,,14,False
5020,99,Thomas Andergassen,M,28.0,166.0,62.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
5435,100,Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
5436,101,Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,,14,False
5437,102,Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
5438,103,Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
5439,104,Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,False
5874,105,Matteo Angioletti,M,23.0,162.0,71.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
5875,106,Matteo Angioletti,M,23.0,162.0,71.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,,14,False
5876,107,Matteo Angioletti,M,23.0,162.0,71.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
5877,108,Matteo Angioletti,M,23.0,162.0,71.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,,14,False
5878,109,Matteo Angioletti,M,23.0,162.0,71.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
5879,110,Matteo Angioletti,M,23.0,162.0,71.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Rings,,14,False
5880,111,Matteo Angioletti,M,27.0,162.0,71.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
5881,112,Matteo Angioletti,M,27.0,162.0,71.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,,14,False
5882,113,Matteo Angioletti,M,27.0,162.0,71.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
5883,114,Matteo Angioletti,M,27.0,162.0,71.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horse Vault,,14,False
5884,115,Matteo Angioletti,M,27.0,162.0,71.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
5885,116,Matteo Angioletti,M,27.0,162.0,71.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,,14,False
5886,117,Matteo Angioletti,M,31.0,162.0,71.0,Italy,ITA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,,14,False
5887,118,Matteo Angioletti,M,31.0,162.0,71.0,Italy,ITA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
5888,119,Matteo Angioletti,M,31.0,162.0,71.0,Italy,ITA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,,14,False
5889,120,Matteo Angioletti,M,31.0,162.0,71.0,Italy,ITA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,14,False
6458,121,Maria Apostolidi,F,15.0,150.0,39.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
6459,122,Maria Apostolidi,F,15.0,150.0,39.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
6460,123,Maria Apostolidi,F,15.0,150.0,39.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,,14,False
6461,124,Maria Apostolidi,F,15.0,150.0,39.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
6462,125,Maria Apostolidi,F,15.0,150.0,39.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,,14,False
6917,126,Ferhat Arcan,M,23.0,178.0,68.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
6918,127,Ferhat Arcan,M,23.0,178.0,68.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
6919,128,Ferhat Arcan,M,23.0,178.0,68.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
6920,129,Ferhat Arcan,M,23.0,178.0,68.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
6921,130,Ferhat Arcan,M,23.0,178.0,68.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,False
6922,131,Ferhat Arcan,M,23.0,178.0,68.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
7189,132,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
7190,133,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
7191,134,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
7192,135,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
7193,136,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,14,False
7194,137,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
8198,138,Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
8199,139,Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,,14,False
8200,140,Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
8201,141,Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
8202,142,Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
8203,143,Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,False
8204,144,Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
9966,145,Aleksandr Sergeyevich Balandin,M,23.0,165.0,55.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,,14,False
9967,146,Aleksandr Sergeyevich Balandin,M,23.0,165.0,55.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
9968,147,Aleksandr Sergeyevich Balandin,M,23.0,165.0,55.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,14,False
9969,148,Aleksandr Sergeyevich Balandin,M,23.0,165.0,55.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
10421,149,Oana Mihaela Ban,F,18.0,139.0,36.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
10422,150,Oana Mihaela Ban,F,18.0,139.0,36.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,Gold,14,False
10423,151,Oana Mihaela Ban,F,18.0,139.0,36.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
10424,152,Oana Mihaela Ban,F,18.0,139.0,36.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,,14,False
10425,153,Oana Mihaela Ban,F,18.0,139.0,36.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
10426,154,Oana Mihaela Ban,F,18.0,139.0,36.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,,14,False
