,Name,Sex,Age,Height,Weight,Team,Development_Status,Rank,NOC,Games,Season,City,Sport,Event,Has_Previous_Medal,Count,Medal
609,Olha Kostiantynivna Shcherbatykh,1,-1.2448026193733541,-1.9428183953741656,-1.921431196677315,Ukraine,Developing,-2.294109336251159,UKR,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
610,Kyle Keith Shewfelt,0,-0.7590107382818945,0.42221948565539913,0.6393784771104615,Canada,Developed,0.6449227400343326,CAN,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
611,Kyle Keith Shewfelt,0,0.21257302390102517,0.42221948565539913,0.6393784771104615,Canada,Developed,0.6449227400343326,CAN,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,1.5293532652363717,
612,Kyle Keith Shewfelt,0,1.1841567860839448,0.42221948565539913,0.6393784771104615,Canada,Developed,0.6449227400343326,CAN,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,3.280070541751009,3.529870920267787,
613,Aleksandr Aleksandrovich Shostak,0,1.1841567860839448,0.7600820400881941,0.734223279843342,Belarus,Upper-Middle,-0.8245932981084132,BLR,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
614,Ana Cludia Trindade Araujo da Silva,1,-1.2448026193733541,-1.1544724350309774,-1.6368967884786731,Brazil,Upper-Middle,-0.8245932981084132,BRA,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
615,Sam Simpson,0,0.6983649049924849,0.7600820400881941,1.4929817017063869,Australia,Developed,0.6449227400343326,AUS,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
616,Aleksey Vasilyevich Sinkevich,0,0.45546896444675505,0.7600820400881941,0.734223279843342,Belarus,Upper-Middle,-0.8245932981084132,BLR,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
617,Melina Debora Sirolli,1,-1.2448026193733541,-0.3661264746877891,-1.0678279720813895,Argentina,Upper-Middle,-0.8245932981084132,ARG,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
618,Lisa Maree Skinner,1,0.45546896444675505,-0.5913681776429858,-0.7832935638827477,Australia,Developed,0.6449227400343326,AUS,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,1.5293532652363717,
619,Lisa Maree Skinner,1,-0.5161147977361645,-0.5913681776429858,-0.7832935638827477,Australia,Developed,0.6449227400343326,AUS,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
